Country name,Regional indicator,Happiness Score,GDP,Social Support,Life Expectancy,Freedom 
Finland,Western Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674
Denmark,Western Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897
Switzerland,Western Europe,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447
Iceland,Western Europe,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748
Norway,Western Europe,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884
Netherlands,Western Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648
Sweden,Western Europe,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701
New Zealand,North America and ANZ,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908
Austria,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878
Luxembourg,Western Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045
Canada,North America and ANZ,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127
Australia,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193
United Kingdom,Western Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657
Israel,Middle East and North Africa,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477
Costa Rica,Latin America and Caribbean,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743
Ireland,Western Europe,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939
Germany,Western Europe,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132
United States,North America and ANZ,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245
Czech Republic,Central and Eastern Europe,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576
Belgium,Western Europe,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421
United Arab Emirates,Middle East and North Africa,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101
Malta,Western Europe,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031
France,Western Europe,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901
Mexico,Latin America and Caribbean,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553
Taiwan Province of China,East Asia,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389
Uruguay,Latin America and Caribbean,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707
Saudi Arabia,Middle East and North Africa,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471
Spain,Western Europe,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816
Guatemala,Latin America and Caribbean,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722
Italy,Western Europe,6.38740015,1.236396074,1.347296,1.022504926,0.321305573
Singapore,Southeast Asia,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206
Brazil,Latin America and Caribbean,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729
Slovenia,Central and Eastern Europe,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144
El Salvador,Latin America and Caribbean,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918
Kosovo,Central and Eastern Europe,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421
Panama,Latin America and Caribbean,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978
Slovakia,Central and Eastern Europe,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529
Uzbekistan,Commonwealth of Independent States,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326
Chile,Latin America and Caribbean,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227
Bahrain,Middle East and North Africa,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902
Lithuania,Central and Eastern Europe,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079
Trinidad and Tobago,Latin America and Caribbean,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113
Poland,Central and Eastern Europe,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528
Colombia,Latin America and Caribbean,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039
Cyprus,Western Europe,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872
Nicaragua,Latin America and Caribbean,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304
Romania,Central and Eastern Europe,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326
Kuwait,Middle East and North Africa,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419
Mauritius,Sub-Saharan Africa,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134
Kazakhstan,Commonwealth of Independent States,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142
Estonia,Central and Eastern Europe,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805
Philippines,Southeast Asia,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162
Hungary,Central and Eastern Europe,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802
Thailand,Southeast Asia,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804
Argentina,Latin America and Caribbean,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347
Honduras,Latin America and Caribbean,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077
Latvia,Central and Eastern Europe,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807
Ecuador,Latin America and Caribbean,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551
Portugal,Western Europe,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189
Jamaica,Latin America and Caribbean,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607
South Korea,East Asia,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635
Japan,East Asia,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875
Peru,Latin America and Caribbean,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058
Serbia,Central and Eastern Europe,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419
Bolivia,Latin America and Caribbean,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645
Pakistan,South Asia,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734
Paraguay,Latin America and Caribbean,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062
Dominican Republic,Latin America and Caribbean,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739
Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741
Moldova,Commonwealth of Independent States,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488
Tajikistan,Commonwealth of Independent States,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171
Montenegro,Central and Eastern Europe,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848
Russia,Commonwealth of Independent States,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595
Kyrgyzstan,Commonwealth of Independent States,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765
Belarus,Commonwealth of Independent States,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868
North Cyprus,Western Europe,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723
Greece,Western Europe,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348
Hong Kong S.A.R. of China,East Asia,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517
Croatia,Central and Eastern Europe,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882
Libya,Middle East and North Africa,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057
Mongolia,East Asia,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115
Malaysia,Southeast Asia,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531
Vietnam,Southeast Asia,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574
Indonesia,Southeast Asia,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428
Ivory Coast,Sub-Saharan Africa,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532
Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989
Maldives,South Asia,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395
Azerbaijan,Commonwealth of Independent States,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724
Macedonia,Central and Eastern Europe,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587
Ghana,Sub-Saharan Africa,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064
Nepal,South Asia,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255
Turkey,Middle East and North Africa,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076
China,East Asia,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117
Turkmenistan,Commonwealth of Independent States,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676
Bulgaria,Central and Eastern Europe,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066
Morocco,Middle East and North Africa,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139
Cameroon,Sub-Saharan Africa,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482
Venezuela,Latin America and Caribbean,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221
Algeria,Middle East and North Africa,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799
Senegal,Sub-Saharan Africa,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899
Guinea,Sub-Saharan Africa,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058
Niger,Sub-Saharan Africa,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615
Laos,Southeast Asia,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287
Albania,Central and Eastern Europe,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891
Cambodia,Southeast Asia,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348
Bangladesh,South Asia,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566
Gabon,Sub-Saharan Africa,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897
South Africa,Sub-Saharan Africa,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182
Iraq,Middle East and North Africa,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052
Lebanon,Middle East and North Africa,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667
Burkina Faso,Sub-Saharan Africa,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156
Gambia,Sub-Saharan Africa,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524
Mali,Sub-Saharan Africa,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449
Nigeria,Sub-Saharan Africa,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455
Armenia,Commonwealth of Independent States,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808
Georgia,Commonwealth of Independent States,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107
Iran,Middle East and North Africa,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472
Jordan,Middle East and North Africa,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083
Mozambique,Sub-Saharan Africa,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534
Kenya,Sub-Saharan Africa,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536
Namibia,Sub-Saharan Africa,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973
Ukraine,Commonwealth of Independent States,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705
Liberia,Sub-Saharan Africa,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096
Palestinian Territories,Middle East and North Africa,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075
Uganda,Sub-Saharan Africa,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556
Chad,Sub-Saharan Africa,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769
Tunisia,Middle East and North Africa,4.392199993,0.874742687,0.872167706,0.781156719,0.235860556
Mauritania,Sub-Saharan Africa,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483
Sri Lanka,South Asia,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462
Congo (Kinshasa),Sub-Saharan Africa,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298
Swaziland,Sub-Saharan Africa,4.308100224,0.827539742,1.064835191,0.215585828,0.299935788
Myanmar,Southeast Asia,4.308000088,0.67809093,1.098178267,0.495443076,0.597478867
Comoros,Sub-Saharan Africa,4.288599968,0.415620774,0.723232806,0.437383324,0.181028232
Togo,Sub-Saharan Africa,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038
Ethiopia,Sub-Saharan Africa,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687
Madagascar,Sub-Saharan Africa,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549
Egypt,Middle East and North Africa,4.151400089,0.875228941,0.982539535,0.596911311,0.373684734
Sierra Leone,Sub-Saharan Africa,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686
Burundi,Sub-Saharan Africa,3.775300026,0,0.403575271,0.295212835,0.275399059
Zambia,Sub-Saharan Africa,3.759399891,0.536833763,0.896037281,0.36359334,0.49131754
Haiti,Latin America and Caribbean,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516
Lesotho,Sub-Saharan Africa,3.652800083,0.45493874,1.088940024,0.100934811,0.409367532
India,South Asia,3.573299885,0.730576158,0.644198656,0.54057014,0.581142247
Malawi,Sub-Saharan Africa,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833
Yemen,Middle East and North Africa,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485
Botswana,Sub-Saharan Africa,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941
Tanzania,Sub-Saharan Africa,3.476200104,0.457163125,0.872674644,0.442677855,0.509343088
Central African Republic,Sub-Saharan Africa,3.475899935,0.041072082,0,0,0.292814463
Rwanda,Sub-Saharan Africa,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889
Zimbabwe,Sub-Saharan Africa,3.299200058,0.425564021,1.047835231,0.375037611,0.37740472
South Sudan,Sub-Saharan Africa,2.816600084,0.289082974,0.553278506,0.208809033,0.065609254
Afghanistan,South Asia,2.566900015,0.30070585,0.356433839,0.266051531,0
